15/16 goals,15/16 minutes,16/17 goals,16/17 minutes,17/18 goals,17/18 minutes,name
3,1833,8,3002,0,936,Nacho Gil
2,1725,3,1327,2,543,Momo
12,1249,1,881,10,2607,Jonathan Calleri
9,1635,8,1445,4,510,Emmanuel Emenike
3,1423,5,1515,0,329,Imoh Ezekiel
0,173,10,2726,7,2089,Justin Kluivert
9,2559,7,3862,3,1272,Amin Younes
2,718,12,2549,4,1564,Dennis Johnsen
3,620,5,855,11,2351,David Neres
9,2257,16,2790,2,435,Vaclav Cerny
8,1783,23,3368,8,1597,Kasper Dolberg
6,1567,15,2448,15,1982,Mateo Cassierra
16,3166,5,1130,10,1631,Klaas-Jan Huntelaar
12,3884,18,2980,15,2217,Hirving Lozano
10,1928,4,1673,7,1892,Steven Bergwijn
14,1743,11,2632,6,1572,Gastón Pereiro
5,2198,18,2637,7,1003,Albert Gudmundsson
3,551,1,733,4,886,Maximiliano Romero
32,3849,9,3388,11,2167,Luuk de Jong
13,3136,21,3248,10,1298,Sam Lammers
6,1146,12,2512,8,1392,Donyell Malen
6,3265,9,2770,7,1588,Sam Larsson
4,978,8,1732,4,2224,Jean-Paul Boëtius
,,0,386,3,1721,Cheick Toure
0,317,8,2547,17,3060,Steven Berghuis
4,2083,4,1590,2,889,Bilal Basacikoglu
19,3336,25,3420,10,2319,Nicolai Jörgensen
22,2937,14,2031,3,481,Robin van Persie
,,20,2593,9,1751,Dylan Vente
12,2013,5,1695,9,1556,Oussama Idrissi
3,2113,12,3289,13,2655,Alireza Jahanbakhsh
1,869,9,2751,0,8,Calvin Stengs
15,3358,18,3351,20,2672,Wout Weghorst
2,570,7,1563,5,920,Ondřej Mihálik
,,13,1679,,,Myron Boadu
14,1379,22,2366,6,1184,Ferdy Druijf
4,1901,1,1234,2,130,Patrick Joosten
7,3095,11,2271,6,2425,Gyrano Kerk
0,313,,,1,835,Bilal Ould-Chikh
3,1183,4,822,3,372,Jean-Christophe Bahebeck
0,222,29,3390,10,1626,Cyriel Dessers
5,2152,6,1033,0,180,Simon Makienok
2,1107,0,1296,2,798,Lukas Görtler
6,952,12,2235,9,1472,Nick Venema
4,1862,7,2874,5,1216,Arber Zeneli
10,2155,2,1494,5,1140,Nemanja Mihajlovic
1,2726,4,2071,2,2093,Martin Ödegaard
3,1811,13,2291,7,995,Marco Rojas
4,1114,22,3354,7,1838,Reza Ghoochannejhad
16,2380,13,925,9,1447,Henk Veerman
6,2601,11,2161,13,2869,Bryan Linssen
9,2191,8,2389,4,1627,Lars ten Teije
0,187,7,3407,2,1570,Roy Beerens
3,1437,1,1086,4,1468,Mitchell van Bergen
0,1284,5,1579,10,2330,Tim Matavz
5,1028,0,430,3,1157,Luc Castaignos
8,833,18,2747,7,1812,Mimoun Mahi
0,1048,5,2320,5,969,Ajdin Hrustic
,,0,19,1,924,Uriel Antuna
14,3105,9,2079,4,979,Lars Veldwijk
15,2918,6,1267,6,1635,Tom van Weert
1,342,5,1740,8,2459,Youness Mokhtar
6,2675,9,2802,1,794,Queensy Menig
1,729,2,1436,7,1372,Terell Ondaan
1,441,3,1845,6,2554,Younes Namli
,,1,718,1,364,Athanasios Karagounis
7,1126,25,3461,4,1174,Piotr Parzyszek
10,1510,2,448,4,775,Stef Nijland
0,29,1,265,8,1891,Oussama Assaidi
1,704,7,1926,4,930,Adnane Tighadouini
4,1149,8,2140,3,990,Dylan George
7,2754,8,1856,1,972,Luciano Slagveer
3,976,34,3434,7,2405,Tom Boere
5,751,5,1043,0,88,Mounir El Hamdaoui
9,2198,1,723,0,483,Marko Kvasina
9,1537,7,1464,2,765,Jari Oosterwijk
2,852,0,781,0,83,Ricardo Kishna
3,2823,2,2644,0,539,Édouard Duplan
1,729,2,1456,2,825,Melvyn Lorenzen
4,1965,3,2064,2,2056,Sheraldo Becker
5,2285,0,547,2,1022,Elson Hooi
8,1656,7,2161,10,2049,Björn Johnsen
0,90,7,1662,7,1365,Delano Ladan
4,1779,7,1955,9,2279,Kristoffer Peterson
2,1527,1,1228,1,403,Zeki Erkilinc
5,2835,8,2871,5,2075,Brandley Kuwas
8,2930,3,1873,0,1088,Brahim Darri
5,2861,1,1897,0,963,Jaroslav Navrátil
